Address,Minted,Cost Per Slothty,Total Cost,IDs
0x63c56771c65E1EEa3B4a9e729Ef1034C2d16e838,53,249,13197,"[7351, 1424, 7256, 8652, 6126, 2267, 4611, 3888, 3831, 7615, 6271, 6601, 2892, 4613, 1747, 1556, 7219, 389, 8498, 7835, 8103, 2196, 7447, 981, 1071, 2111, 3302, 7060, 2555, 1997, 3538, 5883, 8362, 6039, 575, 4866, 872, 4511, 4482, 4099, 2725, 8068, 4319, 3756, 6608, 4173, 2233, 5687, 1367, 780, 4747, 8196, 5548]"
0xD085fdbC919cC5c1fc807A0C9B90409C387F0cA1,35,249,8715,"[2076, 2429, 8348, 4917, 3005, 5263, 1001, 7284, 4956, 6417, 3084, 1753, 1481, 4593, 4354, 3399, 1613, 518, 4642, 8331, 939, 2502, 5117, 1342, 6791, 6847, 8585, 3753, 7800, 4026, 6747, 1575, 3550, 1661, 5970]"
0xfeDa3358c95bB339FBeDf7Eddf5D5Ae1b567FCc5,34,249,8466,"[2250, 3066, 2077, 5176, 7244, 3992, 3426, 6118, 860, 8559, 1588, 3975, 7937, 7776, 470, 1476, 5285, 5701, 6808, 1323, 4166, 8528, 3175, 7001, 1416, 3192, 6244, 2860, 1954, 1382, 1131, 6898, 5742, 7785]"
0x93BF27a3512F28a4ce66ebd0bc0fC8DFD0602448,30,270.67,8120,"[3460, 4553, 3250, 2528, 771, 2602, 193, 7630, 6993, 1976, 5711, 6868, 893, 6254, 5109, 4407, 2307, 6926, 6624, 3278, 3727, 2219, 3153, 6709, 7597, 7430, 7659, 7124, 8469, 5782]"
0x30a57D1f2174eebb71d039e451484325f7dc99D1,32,249,7968,"[4005, 3627, 4063, 6195, 2906, 3970, 8233, 3878, 5938, 3993, 6462, 1195, 6113, 414, 6830, 3591, 7565, 1985, 3603, 2591, 1321, 6164, 3930, 342, 1967, 2478, 5304, 6958, 8414, 3707, 5805, 4668]"
0xB25528d419a3FED81e8d27c426a2A8F55b1D5B37,30,249,7470,"[180, 7015, 7483, 3203, 5786, 5231, 3556, 5311, 1830, 4016, 7886, 2761, 5537, 5597, 2587, 7290, 6171, 5078, 3459, 221, 494, 1688, 1979, 1851, 7400, 2309, 5855, 6820, 4567, 1049]"
0xA99A8c1254DC07169bd3fF9CA20f37aa3c339885,25,257,6425,"[5389, 8568, 1911, 4385, 4080, 2285, 6227, 3947, 3847, 7923, 8440, 503, 5859, 7097, 6048, 3310, 6866, 7629, 2029, 2999, 905, 3003, 1091, 8069, 7457]"
0x44D3ea2cE47a9Ea3190BE77c9a3105F4fAc56d3d,25,249,6225,"[3020, 536, 2083, 4502, 5681, 1787, 3944, 3487, 2099, 7636, 4602, 7346, 6853, 8510, 1800, 6339, 3239, 4879, 7933, 7533, 6647, 6053, 7828, 5535, 6153]"
0x574cEAC75090869c92fd5315D0e89a0294cA58Fc,24,249,5976,"[7703, 2986, 7706, 8332, 3871, 7069, 855, 2022, 5824, 5869, 3906, 8283, 803, 4533, 7276, 7608, 936, 3042, 7037, 2447, 7698, 1122, 949, 6957]"
0x8aA3B68B1c2374b3E831FF42aFa1B5b2E911284a,24,249,5976,"[5190, 6634, 3441, 8108, 7343, 6365, 8147, 8468, 4364, 471, 1541, 7081, 6714, 6397, 5793, 6077, 3759, 7473, 4711, 693, 1038, 7090, 4199, 6022]"
0xc79f690Fd94e644f478eCd2D40915f1baFc644B4,19,299,5681,"[5432, 6563, 3291, 2179, 401, 5203, 3220, 8187, 5847, 3189, 4387, 4112, 5962, 993, 2792, 1974, 6899, 7803, 6984]"
0x8F1Fb491b1Da29427D0D8dCC2a162378CF19768b,20,274,5480,"[886, 2235, 2397, 2316, 268, 3453, 4704, 6044, 8450, 8455, 8441, 5151, 752, 8812, 1823, 3329, 3489, 3599, 2199, 2361]"
0x789e372442D31488A2d3565D916f812c7E400F16,21,249,5229,"[174, 1593, 5625, 5981, 6659, 8190, 1307, 4561, 7168, 1928, 535, 3188, 699, 6826, 815, 4989, 8865, 1052, 7404, 4119, 6662]"
0x058E2C9e6C0c085901b321eb04ebaF059EFCC394,20,249,4980,"[3942, 204, 6657, 7990, 2968, 8087, 5603, 8017, 8030, 3120, 6729, 7317, 4994, 7000, 5436, 961, 8402, 1413, 2399, 6300]"
0xdCF6D0C0d7064fB42fEf1346C84fB759bFF4f81a,20,249,4980,"[4144, 7464, 5993, 812, 6377, 1369, 7640, 3645, 2329, 5230, 7877, 7791, 663, 4804, 4066, 256, 3158, 8353, 6099, 6883]"
